,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,weather.id,weather.main,weather.description,city_name,sys.type,sys.id,rain.1h
874,10000.0,125.3572,6.7497,25.65,26.57,25.65,25.65,1009.0,88.0,1009.0,1007.0,1.35,313.0,1.64,100.0,500.0,Rain,light rain,Digos,1.4955972752948994,1015018.9393586975,0.37
875,10000.0,123.3414,8.5894,27.21,30.76,27.21,27.21,1009.0,85.0,1009.0,1008.0,2.89,72.0,4.53,100.0,804.0,Clouds,overcast clouds,Dipolog,1.4955972752948994,1015018.9393586975,2.3390538143110584
876,10000.0,123.3081,9.3103,27.99,33.54,27.99,27.99,1009.0,89.0,1011.5388596412956,1003.3290800392612,2.06,360.0,4.517028376466673,40.0,802.0,Clouds,scattered clouds,Dumaguete,1.0,8185.0,2.3390538143110584
877,10000.0,124.5225,8.5631,26.16,26.16,26.16,26.16,1009.0,90.0,1009.0,1008.0,1.87,179.0,3.63,100.0,804.0,Clouds,overcast clouds,El Salvador,1.4955972752948994,1015018.9393586975,2.3390538143110584
878,10000.0,123.4992,10.8403,27.38,31.08,27.38,27.38,1010.0,84.0,1010.0,1007.0,4.42,61.0,5.81,98.0,804.0,Clouds,overcast clouds,Escalante,1.4955972752948994,1015018.9393586975,2.3390538143110584
879,10000.0,120.9464,15.3072,28.74,34.85,28.74,28.74,1011.0,84.0,1011.0,1008.0,1.61,28.0,2.99,65.0,803.0,Clouds,broken clouds,Gapan,1.0,8152.0,2.3390538143110584
880,10000.0,125.1717,6.1128,25.89,26.81,25.89,25.89,1010.0,87.0,1010.0,1008.0,0.91,32.0,1.18,99.0,502.0,Rain,heavy intensity rain,General Santos,1.4955972752948994,1015018.9393586975,4.21
881,10000.0,120.8817,14.3869,27.54,31.9,27.18,27.94,1011.0,87.0,1011.0,1009.0,3.41,83.0,6.31,83.0,803.0,Clouds,broken clouds,General Trias,2.0,2084056.0,2.3390538143110584
882,10000.0,125.1167,8.8333,25.66,26.68,25.66,25.66,1010.0,92.0,1010.0,1010.0,0.92,178.0,1.47,100.0,804.0,Clouds,overcast clouds,Gingoog City,1.4955972752948994,1015018.9393586975,2.3390538143110584
883,10000.0,122.8706,10.0989,26.45,26.45,26.45,26.45,1010.0,88.0,1010.0,1009.0,1.97,78.0,2.64,100.0,804.0,Clouds,overcast clouds,Himamaylan,1.4955972752948994,1015018.9393586975,2.3390538143110584
884,10000.0,121.8892,17.1485,23.83,24.62,23.83,23.83,1014.0,90.0,1014.0,1009.0,1.32,9.0,2.17,42.0,802.0,Clouds,scattered clouds,Ilagan,1.4955972752948994,1015018.9393586975,2.3390538143110584
885,10000.0,124.4,8.25,23.27,24.13,23.27,23.27,1010.0,95.0,1010.0,976.0,1.62,172.0,1.62,100.0,804.0,Clouds,overcast clouds,Iligan City,1.4955972752948994,1015018.9393586975,2.3390538143110584
886,10000.0,122.55,10.75,26.58,26.58,26.58,26.58,1009.0,85.0,1009.0,1008.0,5.46,16.0,9.98,95.0,804.0,Clouds,overcast clouds,Iloilo City,1.4955972752948994,1015018.9393586975,2.3390538143110584
887,10000.0,120.9367,14.4297,27.83,32.27,27.25,28.32,1011.0,84.0,1011.5388596412956,1003.3290800392612,1.03,0.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Imus,2.0,2037715.0,2.3390538143110584
888,10000.0,123.4167,13.4167,25.18,26.21,25.18,25.18,1011.0,94.0,1011.0,1009.0,1.66,55.0,2.56,93.0,804.0,Clouds,overcast clouds,Iriga City,1.4955972752948994,1015018.9393586975,2.3390538143110584
889,10000.0,122.9888,10.2048,25.75,26.73,25.75,25.75,1010.0,90.0,1010.0,1006.0,2.6,93.0,3.49,100.0,804.0,Clouds,overcast clouds,Isabela,1.4955972752948994,1015018.9393586975,2.3390538143110584
890,10000.0,122.8122,9.9889,26.25,26.25,26.25,26.25,1010.0,88.0,1010.0,1008.0,1.19,96.0,1.5,99.0,804.0,Clouds,overcast clouds,Kabankalan,1.4955972752948994,1015018.9393586975,2.3390538143110584
891,10000.0,125.0894,7.0083,23.55,24.34,23.55,23.55,1010.0,91.0,1010.0,980.0,0.84,82.0,1.01,100.0,804.0,Clouds,overcast clouds,Kidapawan,1.4955972752948994,1015018.9393586975,2.3390538143110584
892,10000.0,124.8469,6.5031,24.33,25.27,24.33,24.33,1010.0,94.0,1010.0,1004.0,0.96,145.0,1.18,100.0,501.0,Rain,moderate rain,Koronadal,1.4955972752948994,1015018.9393586975,2.05
893,10000.0,122.9208,10.4233,26.34,26.34,26.34,26.34,1009.0,86.0,1009.0,1006.0,2.38,67.0,3.66,93.0,804.0,Clouds,overcast clouds,La Carlota,1.4955972752948994,1015018.9393586975,2.3390538143110584
894,10000.0,125.7022,6.0872,27.79,31.3,27.79,27.79,1009.0,78.0,1009.0,1008.0,1.95,334.0,2.29,82.0,502.0,Rain,heavy intensity rain,Lamitan,1.4955972752948994,1015018.9393586975,6.14
895,10000.0,120.5936,18.1989,24.95,25.67,24.95,24.95,1012.0,83.0,1011.5388596412956,1003.3290800392612,1.03,130.0,4.517028376466673,20.0,801.0,Clouds,few clouds,Laoag,1.0,8159.0,2.3390538143110584
896,10000.0,123.9494,10.3103,28.02,32.62,28.02,28.3,1010.0,83.0,1011.5388596412956,1003.3290800392612,2.06,360.0,4.517028376466673,75.0,803.0,Clouds,broken clouds,Lapu-Lapu City,1.0,8187.0,2.3390538143110584
897,10000.0,120.9828,14.4506,27.56,31.55,27.21,27.96,1012.0,84.0,1011.5388596412956,1003.3290800392612,1.79,64.0,1.79,20.0,801.0,Clouds,few clouds,Las Piñas,2.0,2005706.0,2.3390538143110584
